Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-06-14,25.570837731662515,25.588533813137712,25.50005340576172,25.50005340576172,64200,14,0,24,6,1993
1993-06-15,25.535454238074546,25.553150325557617,25.44697380065918,25.44697380065918,142400,15,1,24,6,1993
1993-06-16,25.44696516133612,25.50005340576172,25.376180835435324,25.50005340576172,330900,16,2,24,6,1993
1993-06-17,25.553131715555573,25.588523864746094,25.500043491769794,25.588523864746094,37400,17,3,24,6,1993
1993-06-18,25.57385942909155,25.57385942909155,25.377822875976562,25.377822875976562,58500,18,4,24,6,1993
1993-06-21,25.44911117927963,25.44911117927963,25.39564665999543,25.431289672851562,29300,21,0,25,6,1993
1993-06-22,25.4669200846461,25.4669200846461,25.41345559181619,25.449098587036133,137500,22,1,25,6,1993
1993-06-23,25.44910583496094,25.44910583496094,25.217426300048828,25.217426300048828,227600,23,2,25,6,1993
1993-06-24,25.28872854240769,25.55605125427246,25.28872854240769,25.55605125427246,243700,24,3,25,6,1993
1993-06-25,25.5382080078125,25.60949400364729,25.520386508853804,25.5382080078125,44800,25,4,25,6,1993
1993-06-28,25.662959317983308,25.823352813720703,25.627316318930554,25.823352813720703,439900,28,0,26,6,1993
1993-06-29,25.78770634734515,25.78770634734515,25.66295586743401,25.698598861694336,207500,29,1,26,6,1993
1993-06-30,25.73424185595466,25.78770634734515,25.66295586743401,25.698598861694336,437600,30,2,26,6,1993
1993-07-01,25.734246430377137,25.734246430377137,25.59167442799278,25.627317428588867,605700,1,3,26,7,1993
1993-07-02,25.53820570298842,25.556027200338725,25.39563372418597,25.4847412109375,285400,2,4,26,7,1993
1993-07-06,25.44910583496094,25.520391845703124,25.181783294677736,25.217426300048828,246400,6,1,27,7,1993
1993-07-07,25.199592633344825,25.32434309192574,25.199592633344825,25.288700103759766,343700,7,2,27,7,1993
1993-07-08,25.30653192606537,25.627318950480284,25.270888923352604,25.573854446411133,248200,8,3,27,7,1993
1993-07-09,25.57385939703458,25.645145416259766,25.520394882615694,25.645145416259766,378200,9,4,27,7,1993
1993-07-12,25.609495928290823,25.64513892888691,25.57385292769473,25.627317428588867,373700,12,0,28,7,1993
1993-07-13,25.64514389250456,25.71642990749415,25.466928855030588,25.609500885009766,389600,13,1,28,7,1993
1993-07-14,25.627312873173686,25.769884850214986,25.609491376043525,25.698598861694336,617300,14,2,28,7,1993
1993-07-15,25.680788049458794,25.680788049458794,25.53821601309816,25.5916805267334,443800,15,3,28,7,1993
1993-07-16,25.609489406287338,25.62731090204676,25.484738935971393,25.520381927490234,216400,16,4,28,7,1993
1993-07-19,25.520384974449684,25.520384974449684,25.43127748501376,25.5025634765625,188200,19,0,29,7,1993
1993-07-20,25.48474693962921,25.573854446411133,25.359996430134522,25.573854446411133,68500,20,1,29,7,1993
1993-07-21,25.538229740148143,25.55605125427246,25.46694368365087,25.55605125427246,142700,21,2,29,7,1993
1993-07-22,25.520394914605646,25.556037924262913,25.377822875976562,25.377822875976562,632400,22,3,29,7,1993
1993-07-23,25.43127748501376,25.5025634765625,25.41345598712657,25.5025634765625,286200,23,4,29,7,1993
1993-07-26,25.57385939703458,25.698609930678654,25.57385939703458,25.645145416259766,121300,26,0,30,7,1993
1993-07-27,25.662960429184956,25.680781929483004,25.53820992709864,25.627317428588867,92800,27,1,30,7,1993
1993-07-28,25.573854446411133,25.627318950480284,25.538211443698366,25.573854446411133,30800,28,2,30,7,1993
1993-07-29,25.62731553974535,25.787709030606067,25.5916725417763,25.71642303466797,331000,29,3,30,7,1993
1993-07-30,25.716426457262205,25.716426457262205,25.538211443698366,25.573854446411133,75300,30,4,30,7,1993
1993-08-02,25.609502406647174,25.734252940291245,25.609502406647174,25.645145416259766,41300,2,0,31,8,1993
1993-08-03,25.698595412572224,25.769881391525267,25.573844949404396,25.662952423095703,81600,3,1,31,8,1993
1993-08-04,25.662952423095703,25.716416907310485,25.591666444142657,25.662952423095703,434000,4,2,31,8,1993
1993-08-05,25.662965396251955,25.662965396251955,25.57385787751497,25.609500885009766,36800,5,3,31,8,1993
1993-08-06,25.680788425872358,25.698609930678654,25.609502406647174,25.645145416259766,402300,6,4,31,8,1993
1993-08-09,25.71642228860071,25.8589942763407,25.662957793198213,25.787708282470703,828200,9,0,32,8,1993
1993-08-10,25.769874572753906,25.787696062776558,25.734231592708603,25.769874572753906,604900,10,1,32,8,1993
1993-08-11,25.752053082731255,25.841160532844512,25.752053082731255,25.769874572753906,542200,11,2,32,8,1993
